Render mode,Description
**blend_mix**,"Mix blend mode (alpha is transparency), default."
**blend_add**,Additive blend mode.
**blend_sub**,Subtractive blend mode.
**blend_mul**,Multiplicative blend mode.
**blend_premul_alpha**,"Premultiplied alpha blend mode (fully transparent = add, fully opaque = mix)."
**depth_draw_opaque**,Only draw depth for opaque geometry (not transparent).
**depth_draw_always**,Always draw depth (opaque and transparent).
**depth_draw_never**,Never draw depth.
**depth_prepass_alpha**,Do opaque depth pre-pass for transparent geometry.
**depth_test_disabled**,Disable depth testing.
**depth_test_default**,"Depth test will discard the pixel if it is behind other pixels. In Forward+ only, the pixel is also discarded if it's at the exact same depth as another pixel."
**depth_test_inverted**,Depth test will discard the pixel if it is in front of other pixels. Useful for stencil effects.
**sss_mode_skin**,"Subsurface Scattering mode for skin (optimizes visuals for human skin, e.g. boosted red channel)."
**cull_back**,Cull back-faces (default).
**cull_front**,Cull front-faces.
**cull_disabled**,Culling disabled (double sided).
**unshaded**,"Result is just albedo. No lighting/shading happens in material, making it faster to render."
**wireframe**,Geometry draws using lines (useful for troubleshooting).
**debug_shadow_splits**,Directional shadows are drawn using different colors for each split (useful for troubleshooting).
**diffuse_burley**,Burley (Disney PBS) for diffuse (default).
**diffuse_lambert**,Lambert shading for diffuse.
**diffuse_lambert_wrap**,Lambert-wrap shading (roughness-dependent) for diffuse.
**diffuse_toon**,Toon shading for diffuse.
**specular_schlick_ggx**,Schlick-GGX for direct light specular lobes (default).
**specular_toon**,Toon for direct light specular lobes.
**specular_disabled**,Disable direct light specular lobes. Doesn't affect reflected light (use ``SPECULAR = 0.0`` instead).
**skip_vertex_transform**,"``VERTEX``, ``NORMAL``, ``TANGENT``, and ``BITANGENT`` need to be transformed manually in the ``vertex()`` function."
**world_vertex_coords**,"``VERTEX``, ``NORMAL``, ``TANGENT``, and ``BITANGENT`` are modified in world space instead of model space."
**ensure_correct_normals**,Use when non-uniform scale is applied to mesh *(note: currently unimplemented)*.
**shadows_disabled**,"Disable computing shadows in shader. The shader will not receive shadows, but can still cast them."
**ambient_light_disabled**,Disable contribution from ambient light and radiance map.
**shadow_to_opacity**,Lighting modifies the alpha so shadowed areas are opaque and non-shadowed areas are transparent. Useful for overlaying shadows onto a camera feed in AR.
**vertex_lighting**,Use vertex-based lighting instead of per-pixel lighting.
**particle_trails**,Enables the trails when used on particle geometry.
**alpha_to_coverage**,"Alpha antialiasing mode, see `here <https://github.com/godotengine/godot/pull/40364>`_ for more."
**alpha_to_coverage_and_one**,"Alpha antialiasing mode, see `here <https://github.com/godotengine/godot/pull/40364>`_ for more."
**fog_disabled**,Disable receiving depth-based or volumetric fog. Useful for ``blend_add`` materials like particles.
